Title,Abstract,Authors,Affiliations
Reset-Free Reinforcement Learning Via Multi-Task Learning: Learning Dexterous Manipulation Behaviors without Human Intervention,"Reinforcement Learning (RL) algorithms can in principle acquire complex robotic skills by learning from large amounts of data in the real world, collected via trial and error. However, most RL algorithms use a carefully engineered setup in order to collect data, requiring human supervision and intervention to provide episodic resets. To make data collection scalable, such applications require reset-free algorithms that are able to learn autonomously, without explicit instrumentation or human intervention. Most prior work in this area handles single-task learning. However, we might also want robots that can perform large repertoires of skills. The key observation we make is that an appropriately chosen multi-task RL setting actually alleviates the reset-free learning challenge, with minimal additional machinery required. In effect, solving a multi-task problem can directly solve the reset-free problem since different combinations of tasks can serve to reset other tasks. This type of multi-task learning can effectively scale reset-free learning schemes to much more complex problems, as we demonstrate in our experiments. We propose a scheme for multi-task learning that tackles the reset-free learning problem, and show its effectiveness at learning to solve complex dexterous manipulation tasks in both hardware and simulation without any explicit resets. This work shows the ability to learn in-hand manipulation behaviors in the real world with RL without any human intervention.
                           ","['Gupta, Abhishek', 'Yu, Justin', 'Zhao, Zihao', 'Kumar, Vikash', 'Aaron, Rovinsky', 'Xu, Kelvin', 'Devlin, Thomas', 'Levine, Sergey']","['UC Berkeley', 'UC Berkeley', 'UC Berkeley', 'Univ. of Washington', 'University of California, Berkeley', 'University of California, Berkeley', 'University of California, . Berkeley', 'UC Berkeley']"
DisCo RL: Distribution-Conditioned Reinforcement Learning for General-Purpose Policies,"Can we use reinforcement learning to instead learn general-purpose policies that can perform a wide range of different tasks, resulting in flexible and reusable skills? Contextual policies provide this capability in principle, but the representation of the context determines the degree of generalization and expressivity. Categorical contexts preclude generalization to entirely new tasks. Goal-conditioned policies may enable some generalization, but cannot capture all tasks that might be desired. In this paper, we propose goal distributions as a general and broadly applicable task representation suitable for contextual policies. Goal distributions are general in the sense that they can represent any state-based reward function when equipped with an appropriate distribution class, while the particular choice of distribution class allows us to trade off expressivity and learnability. We develop an off-policy algorithm called distribution-conditioned reinforcement learning (DisCo RL) to efficiently learn these policies. We evaluate DisCo RL on a variety of robot manipulation tasks and find that it significantly outperforms prior methods on tasks that require generalization to new goal distributions.
                           ","['Nasiriany, Soroush', 'Pong, Vitchyr', 'Nair, Ashvin', 'Khazatsky, Alexander', 'Berseth, Glen', 'Levine, Sergey']","['UC Berkeley', 'UC Berkeley', 'UC Berkeley', 'UC Berkeley', 'University of California Berkeley', 'UC Berkeley']"
What Can I Do Here? Learning New Skills by Imagining Visual Affordances,"A generalist robot equipped with learned skills must be able to perform many tasks in many different environments. However, zero-shot generalization to new settings is not always possible. When the robot encounters a new environment or object, it may need to finetune some of its previously learned skills to accommodate this change. But crucially, previously learned behaviors and models should still be suitable to accelerate this relearning. In this paper, we aim to study how generative models of possible outcomes can allow a robot to learn visual representations of affordances, so that the robot can sample potentially possible outcomes in new situations, and then further train its policy to achieve those outcomes. In effect, prior data is used to learn what kinds of outcomes may be possible, such that when the robot encounters an unfamiliar setting, it can sample potential outcomes from its model, attempt to reach them, and thereby update both its skills and its outcome model. We show that this approach can be used to train goal-conditioned policies that operate on raw image inputs, and can rapidly learn to manipulate new objects via our proposed affordance-directed exploration scheme.
                           ","['Khazatsky, Alexander', 'Nair, Ashvin', 'Jing, Daniel', 'Levine, Sergey']","['UC Berkeley', 'UC Berkeley', 'University of California, Berkeley', 'UC Berkeley']"
Reinforcement Learning for Robust Parameterized Locomotion Control of Bipedal Robots,"Developing robust walking controllers for bipedal robots is a challenging endeavor. Traditional model-based locomotion controllers require simplifying assumptions and careful modelling; any small errors can result in unstable control. To address these challenges for bipedal locomotion, we present a model-free reinforcement learning framework for training robust locomotion policies in simulation, which can then be transferred to a real bipedal Cassie robot. To facilitate sim-to-real transfer, domain randomization is used to encourage the policies to learn behaviors that are robust across variations in the system dynamics. The learned policies enable Cassie to perform a set of diverse and dynamic behaviors, while also being more robust than traditional controllers and prior learning-based methods that use residual control. We demonstrate this on versatile walking behaviors such as tracking a target walking velocity, walking height, and turning yaw.
                           ","['Li, Zhongyu', 'Cheng, Xuxin', 'Peng, Xue Bin', 'Abbeel, Pieter', 'Levine, Sergey', 'Berseth, Glen', 'Sreenath, Koushil']","['University of California, Berkeley', 'University of California, Berkeley', 'University of California, Berkeley', 'UC Berkeley', 'UC Berkeley', 'University of California Berkeley', 'University of California, Berkeley']"
Model-Based Meta-Reinforcement Learning for Flight with Suspended Payloads,"Transporting suspended payloads is challenging for autonomous aerial vehicles because the payload can cause significant and unpredictable changes to the robot's dynamics. These changes can lead to suboptimal flight performance or even catastrophic failure. Although adaptive control and learning-based methods can in principle adapt to changes in these hybrid robot-payload systems, rapid mid-flight adaptation to payloads that have a priori unknown physical properties remains an open problem. We propose a meta-learning approach that ``learns how to learn'' models of altered dynamics within seconds of post-connection flight data. Our experiments demonstrate that our online adaptation approach outperforms non-adaptive methods on a series of challenging suspended payload transportation tasks.
                           ","['Belkhale, Suneel', 'Kahn, Gregory', 'McAllister, Rowan', 'Calandra, Roberto', 'Levine, Sergey']","['Stanford University', 'University of California, Berkeley', 'University of California, Berkeley', 'Facebook', 'UC Berkeley']"
ViNG: Learning Open-World Navigation with Visual Goals,"We propose a learning-based navigation system for reaching visually indicated goals and demonstrate this system on a real mobile robot platform. Learning provides an appealing alternative to conventional methods for robotic navigation: instead of reasoning about environments in terms of geometry and maps, learning can enable a robot to learn about navigational affordances, understand what types of obstacles are traversable (e.g., tall grass) or not (e.g., walls), and generalize over patterns in the environment. However, unlike conventional planning algorithms, it is harder to change the goal for a learned policy during deployment. We propose a method for learning to navigate towards a goal image of the desired destination. By combining a learned policy with a topological graph constructed out of previously observed data, our system can determine how to reach this visually indicated goal even in the presence of variable appearance and lighting. Three key insights, waypoint proposal, graph pruning and negative mining, enable our method to learn to navigate in real-world environments using only offline data, a setting where prior methods struggle. We instantiate our method on a real outdoor ground robot and show that our system (ViNG) outperforms previously-proposed methods for goal-conditioned reinforcement learning. We also study how ViNG generalizes to unseen environments and evaluate its ability to adapt to such an environment with growing experience.
                           ","['Shah, Dhruv', 'Eysenbach, Benjamin', 'Kahn, Gregory', 'Rhinehart, Nicholas', 'Levine, Sergey']","['University of California, Berkeley', 'CMU', 'University of California, Berkeley', 'Carnegie Mellon University', 'UC Berkeley']"
BADGR: An Autonomous Self-Supervised Learning-Based Navigation System,"Mobile robot navigation is typically regarded as a geometric problem, in which the robot's objective is to perceive the geometry of the environment in order to plan collision-free paths towards a desired goal. However, a purely geometric view of the world can be insufficient for many navigation problems. For example, a robot navigating based on geometry may avoid a field of tall grass because it believes it is untraversable, and will therefore fail to reach its desired goal. In this work, we investigate how to move beyond these purely geometric-based approaches using a method that learns about physical navigational affordances from experience. Our reinforcement learning approach, which we call BADGR, is an end-to-end learning-based mobile robot navigation system that can be trained with autonomously-labeled off-policy data gathered in real-world environments, without any simulation or human supervision. BADGR can navigate in real-world urban and off-road environments with geometrically distracting obstacles. It can also incorporate terrain preferences, generalize to novel environments, and continue to improve autonomously by gathering more data. Videos, code, and other supplemental material are available on our website https://sites.google.com/view/badgr
                           ","['Kahn, Gregory', 'Abbeel, Pieter', 'Levine, Sergey']","['University of California, Berkeley', 'UC Berkeley', 'UC Berkeley']"
SimGAN: Hybrid Simulator Identification for Domain Adaptation Via Adversarial Reinforcement Learning,"As learning-based approaches progress towards automating robot controllers design, transferring learned policies to new domains with different dynamics (e.g. sim-to-real transfer) still demands manual effort. This paper introduces SimGAN, a framework to tackle domain adaptation by identifying a hybrid physics simulator to match the simulated trajectories to the ones from the target domain, using a learned discriminative loss to address the limitations associated with manual loss design. Our hybrid simulator combines neural networks and traditional physics simulation to balance expressiveness and generalizability, and alleviates the need for a carefully selected parameter set in System ID. Once the hybrid simulator is identified via adversarial reinforcement learning, it can be used to refine policies for the target domain, without the need to interleave data collection and policy refinement. We show that our approach outperforms multiple strong baselines on six robotic locomotion tasks for domain adaptation.
                           ","['Jiang, Yifeng', 'Zhang, Tingnan', 'Ho, Daniel', 'Bai, Yunfei', 'Liu, Karen', 'Levine, Sergey', 'Tan, Jie']","['Stanford University', 'Google', 'Google X', 'Google X', 'Stanford University', 'UC Berkeley', 'Google']"
Reactive Navigation in Crowds for Non-Holonomic Robots with Convex Bounding Shape,"This paper describes a novel method for non-holonomic robots of convex shape to avoid imminent collisions with moving obstacles. The method's purpose is to assist navigation in crowds by correcting steering from the robot's path planner or driver. We evaluate its performance using a custom simulator which replicates real crowd movements and corresponding metrics which quantify the agent's efficiency and the robot's impact on the crowd and count collisions. We implement and evaluate the method on the standing wheelchair Qolo. In our experiments, it drives in autonomous mode using on-board sensing (LiDAR, RGB-D camera and a system to track pedestrians) and avoids collisions with up to five pedestrians and passes through a door.
                           ","['Kahn, Gregory', 'Abbeel, Pieter', 'Levine, Sergey']","['University of California, Berkeley', 'UC Berkeley', 'UC Berkeley']"
Learning Task Space Actions for Bipedal Locomotion,"Recent work has demonstrated the success of reinforcement learning (RL) for training bipedal locomotion policies for real robots. This prior work, however, has focused on learning joint-coordination controllers based on an objective of following joint trajectories produced by already available controllers. As such, it is difficult to train these approaches to achieve higher-level goals of legged locomotion, such as simply specifying the desired end-effector foot movement or ground reaction forces. In this work, we propose an approach for integrating knowledge of the robot system into RL to allow for learning at the level of task space actions in terms of feet setpoints. In particular, we integrate learning a task space policy with a model-based inverse dynamics controller, which translates task space actions into joint-level controls. With this natural action space for learning locomotion, the approach is more sample efficient and produces desired task space dynamics compared to learning purely joint space actions. We demonstrate the approach in simulation and also show that the learned policies are able to transfer to the real bipedal robot Cassie. This result encourages further research towards incorporating bipedal control techniques into the structure of the learning process to enable dynamic behaviors.
                           ","['Duan, Helei', 'Dao, Jeremy', 'Green, Kevin', 'Apgar, Taylor', 'Fern, Alan', 'Hurst, Jonathan']","['Oregon State University', 'Oregon State University', 'Oregon State University', 'Agility Robotics', 'Oregon State University', 'Oregon State University']"
